attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
full,1650,QUBOCorrelation,SimulatedAnnealing,13,cuda:2,19.81,51.94,0.6,7441.15,0.99624,0.99705,0.98518,0.97255,0.99814
full,1663,QUBOCorrelation,SimulatedAnnealing,26,cuda:2,19.01,50.79,0.6017,7928.55,0.99634,0.99753,0.98558,0.97242,0.99911
full,1676,QUBOCorrelation,SimulatedAnnealing,39,cuda:2,17.94,52.74,0.606,8381.25,0.99658,0.99747,0.9865,0.97464,0.99866
full,1702,QUBOCorrelation,SteepestDescent,13,cuda:2,16.56,50.1,0.595,7441.15,0.99636,0.99765,0.98568,0.97237,0.99936
full,1715,QUBOCorrelation,SteepestDescent,26,cuda:2,17.14,50.65,0.5954,7928.55,0.99635,0.99762,0.98563,0.97231,0.99932
full,1728,QUBOCorrelation,SteepestDescent,39,cuda:2,16.78,52.78,0.6059,8381.25,0.99658,0.99744,0.98652,0.97474,0.9986
full,1754,QUBOCorrelation,TabuSampler,13,cuda:2,16.25,52.05,0.6065,8171.85,0.99652,0.99762,0.9863,0.97383,0.99909
full,1767,QUBOCorrelation,TabuSampler,26,cuda:2,16.43,52.75,0.6112,8381.25,0.99653,0.99718,0.98631,0.97484,0.99806
full,1780,QUBOCorrelation,TabuSampler,39,cuda:2,16.46,53.06,0.6132,8765.72,0.99649,0.99743,0.98617,0.97397,0.99868
full,1806,QUBOMutualInformation,SimulatedAnnealing,13,cuda:2,16.28,48.49,0.5895,7509.88,0.99637,0.99763,0.98573,0.9725,0.99932
full,1819,QUBOMutualInformation,SimulatedAnnealing,26,cuda:2,16.19,51.58,0.603,7962.59,0.9964,0.99769,0.98583,0.97262,0.9994
full,1832,QUBOMutualInformation,SimulatedAnnealing,39,cuda:2,16.59,52.48,0.6083,8416.14,0.99643,0.9971,0.98592,0.97413,0.998
full,1858,QUBOMutualInformation,SteepestDescent,13,cuda:2,16.06,48.49,0.6023,7509.88,0.9964,0.99775,0.98584,0.97251,0.99955
full,1871,QUBOMutualInformation,SteepestDescent,26,cuda:2,16.16,51.57,0.6028,7962.59,0.9964,0.9977,0.98584,0.97262,0.99942
full,1884,QUBOMutualInformation,SteepestDescent,39,cuda:2,16.69,52.5,0.6046,8416.14,0.99628,0.99731,0.98536,0.97239,0.99868
full,1910,QUBOMutualInformation,TabuSampler,13,cuda:2,16.51,54.27,0.6211,8799.89,0.99653,0.9971,0.98631,0.97501,0.99787
full,1923,QUBOMutualInformation,TabuSampler,26,cuda:2,16.46,54.39,0.6181,8799.89,0.99653,0.99713,0.98633,0.975,0.99793
full,1936,QUBOMutualInformation,TabuSampler,39,cuda:2,16.45,54.33,0.6362,8799.89,0.99654,0.99714,0.98635,0.97503,0.99793
full,1962,QUBOSVCBoosting,SimulatedAnnealing,13,cuda:2,16.0,49.89,0.5981,7265.66,0.99595,0.99651,0.98404,0.97116,0.99727
full,1975,QUBOSVCBoosting,SimulatedAnnealing,26,cuda:2,16.46,50.67,0.5982,7544.7,0.9962,0.99709,0.98505,0.97218,0.99826
full,1988,QUBOSVCBoosting,SimulatedAnnealing,39,cuda:2,16.43,51.06,0.6021,7859.46,0.99607,0.99657,0.98452,0.97213,0.99723
full,2014,QUBOSVCBoosting,SteepestDescent,13,cuda:2,16.25,49.94,0.5934,7265.66,0.99622,0.99713,0.9851,0.9722,0.99835
full,2027,QUBOSVCBoosting,SteepestDescent,26,cuda:2,16.22,50.72,0.598,7544.7,0.99625,0.99703,0.98525,0.97276,0.99806
full,2040,QUBOSVCBoosting,SteepestDescent,39,cuda:2,16.29,51.14,0.6011,7859.46,0.99621,0.99565,0.98502,0.97534,0.9949
full,2066,QUBOSVCBoosting,TabuSampler,13,cuda:2,16.11,50.09,0.6013,7405.19,0.99619,0.99697,0.985,0.97231,0.99802
full,2079,QUBOSVCBoosting,TabuSampler,26,cuda:2,16.4,51.26,0.601,7824.42,0.99622,0.99714,0.98513,0.97224,0.99837
full,2092,QUBOSVCBoosting,TabuSampler,39,cuda:2,16.74,52.15,0.6039,8276.59,0.99656,0.99721,0.98642,0.97504,0.99808
dos,758,QUBOCorrelation,SimulatedAnnealing,12,cuda:2,1.92,6.4,0.0808,1137.28,0.99522,0.96892,0.94925,0.95882,0.93987
dos,770,QUBOCorrelation,SimulatedAnnealing,24,cuda:2,1.89,6.54,0.079,1195.83,0.99624,0.98244,0.96074,0.95436,0.9672
dos,782,QUBOCorrelation,SimulatedAnnealing,36,cuda:2,1.91,6.66,0.0803,1254.66,0.99706,0.98128,0.96893,0.97408,0.96384
dos,806,QUBOCorrelation,SteepestDescent,12,cuda:2,1.9,6.4,0.0791,1137.28,0.99518,0.9683,0.94878,0.95917,0.9386
dos,818,QUBOCorrelation,SteepestDescent,24,cuda:2,1.92,6.54,0.0823,1195.83,0.9961,0.98037,0.95916,0.95536,0.96299
dos,830,QUBOCorrelation,SteepestDescent,36,cuda:2,1.93,6.67,0.0796,1254.66,0.99704,0.98127,0.96872,0.97366,0.96384
dos,854,QUBOCorrelation,TabuSampler,12,cuda:2,1.82,6.54,0.0797,1215.96,0.99668,0.98208,0.96513,0.96432,0.96594
dos,866,QUBOCorrelation,TabuSampler,24,cuda:2,1.92,6.66,0.0801,1264.18,0.99742,0.98346,0.97274,0.97749,0.96804
dos,878,QUBOCorrelation,TabuSampler,36,cuda:2,1.94,6.72,0.0806,1303.48,0.99744,0.98747,0.97318,0.96992,0.97645
dos,902,QUBOMutualInformation,SimulatedAnnealing,12,cuda:2,1.9,6.44,0.082,1146.26,0.99634,0.9827,0.96176,0.95596,0.96762
dos,914,QUBOMutualInformation,SimulatedAnnealing,24,cuda:2,1.91,6.55,0.0838,1205.22,0.9978,0.98626,0.97679,0.9801,0.97351
dos,926,QUBOMutualInformation,SimulatedAnnealing,36,cuda:2,1.93,6.66,0.0807,1264.18,0.9976,0.98635,0.97475,0.97557,0.97393
dos,950,QUBOMutualInformation,SteepestDescent,12,cuda:2,1.9,6.44,0.0806,1146.26,0.9963,0.98287,0.96137,0.95479,0.96804
dos,962,QUBOMutualInformation,SteepestDescent,24,cuda:2,1.92,6.55,0.0796,1205.22,0.99784,0.98688,0.97723,0.97971,0.97477
dos,974,QUBOMutualInformation,SteepestDescent,36,cuda:2,1.93,6.69,0.083,1264.18,0.99768,0.98959,0.97573,0.97086,0.98066
dos,998,QUBOMutualInformation,TabuSampler,12,cuda:2,1.94,6.74,0.0804,1313.31,0.99768,0.98999,0.97575,0.97007,0.9815
dos,1010,QUBOMutualInformation,TabuSampler,24,cuda:2,1.93,6.75,0.0801,1313.31,0.99788,0.9897,0.97778,0.97492,0.98066
dos,1022,QUBOMutualInformation,TabuSampler,36,cuda:2,1.93,6.76,0.0811,1313.31,0.99782,0.98967,0.97716,0.9737,0.98066
dos,1046,QUBOSVCBoosting,SimulatedAnnealing,12,cuda:2,1.89,6.31,0.0794,1111.88,0.99698,0.98882,0.96861,0.95767,0.97981
dos,1058,QUBOSVCBoosting,SimulatedAnnealing,24,cuda:2,1.9,6.29,0.0815,1151.17,0.99674,0.98211,0.96573,0.96553,0.96594
dos,1070,QUBOSVCBoosting,SimulatedAnnealing,36,cuda:2,1.91,6.37,0.0822,1191.46,0.99684,0.97996,0.9666,0.97194,0.96131
dos,1094,QUBOSVCBoosting,SteepestDescent,12,cuda:2,1.88,6.31,0.0784,1111.88,0.99451,0.96476,0.94178,0.95189,0.93188
dos,1106,QUBOSVCBoosting,SteepestDescent,24,cuda:2,1.9,6.29,0.0781,1151.17,0.99447,0.96394,0.94128,0.95263,0.93019
dos,1118,QUBOSVCBoosting,SteepestDescent,36,cuda:2,1.93,6.37,0.0784,1191.46,0.9974,0.98685,0.97273,0.97029,0.97519
dos,1142,QUBOSVCBoosting,TabuSampler,12,cuda:2,1.91,6.34,0.083,1132.27,0.99528,0.98593,0.9516,0.92874,0.97561
dos,1154,QUBOSVCBoosting,TabuSampler,24,cuda:2,1.9,6.47,0.0799,1185.79,0.99692,0.97881,0.96733,0.97603,0.95879
dos,1166,QUBOSVCBoosting,TabuSampler,36,cuda:2,1.9,6.63,0.0796,1244.52,0.99796,0.98754,0.9785,0.98098,0.97603
fuzzers,2116,QUBOCorrelation,SimulatedAnnealing,11,cuda:2,2.56,8.49,0.1034,1513.05,0.98797,0.9919,0.88747,0.8001,0.99626
fuzzers,2127,QUBOCorrelation,SimulatedAnnealing,22,cuda:2,2.59,8.71,0.1049,1585.7,0.98794,0.99218,0.88728,0.7994,0.99688
fuzzers,2138,QUBOCorrelation,SimulatedAnnealing,33,cuda:2,2.61,8.93,0.1056,1658.34,0.98791,0.99187,0.88698,0.7993,0.99626
fuzzers,2159,QUBOCorrelation,SteepestDescent,11,cuda:2,2.47,8.48,0.1048,1513.05,0.98788,0.99215,0.88679,0.7986,0.99688
fuzzers,2170,QUBOCorrelation,SteepestDescent,22,cuda:2,2.6,8.73,0.1057,1585.7,0.98794,0.99174,0.88719,0.79985,0.99595
fuzzers,2181,QUBOCorrelation,SteepestDescent,33,cuda:2,2.63,8.94,0.1067,1658.34,0.98795,0.99175,0.88731,0.80005,0.99595
fuzzers,2202,QUBOCorrelation,TabuSampler,11,cuda:2,2.6,8.66,0.1034,1618.72,0.98791,0.99187,0.88698,0.7993,0.99626
fuzzers,2213,QUBOCorrelation,TabuSampler,22,cuda:2,2.62,9.0,0.1058,1691.37,0.98792,0.99173,0.88707,0.79965,0.99595
fuzzers,2224,QUBOCorrelation,TabuSampler,33,cuda:2,2.63,8.98,0.1068,1725.14,0.98788,0.99067,0.88648,0.8001,0.99376
fuzzers,2245,QUBOMutualInformation,SimulatedAnnealing,11,cuda:2,2.59,8.56,0.1054,1527.27,0.98791,0.99217,0.88704,0.799,0.99688
fuzzers,2256,QUBOMutualInformation,SimulatedAnnealing,22,cuda:2,2.59,8.74,0.1042,1605.51,0.98756,0.9908,0.88396,0.79561,0.99439
fuzzers,2267,QUBOMutualInformation,SimulatedAnnealing,33,cuda:2,2.6,8.89,0.1048,1671.55,0.98798,0.99117,0.88744,0.80106,0.9947
fuzzers,2288,QUBOMutualInformation,SteepestDescent,11,cuda:2,2.6,8.57,0.1039,1527.27,0.98788,0.99186,0.88673,0.7989,0.99626
fuzzers,2299,QUBOMutualInformation,SteepestDescent,22,cuda:2,2.61,8.74,0.1058,1605.51,0.98761,0.99098,0.88436,0.79606,0.9947
fuzzers,2310,QUBOMutualInformation,SteepestDescent,33,cuda:2,2.6,8.88,0.1047,1671.55,0.98786,0.99111,0.88645,0.79945,0.9947
fuzzers,2331,QUBOMutualInformation,TabuSampler,11,cuda:2,2.62,8.95,0.1066,1725.14,0.98786,0.99052,0.88632,0.80005,0.99345
fuzzers,2342,QUBOMutualInformation,TabuSampler,22,cuda:2,2.63,8.96,0.1058,1725.14,0.98789,0.99083,0.88663,0.80015,0.99407
