attack_cat,device,training_time_sec,accuracy,f1_malicious,precision_malicious,recall_malicious
analysis,cpu,177.87,99.864,98.585,97.436,99.761
analysis,cuda,2.55,99.864,98.585,97.436,99.761
analysis,cuda:2,1.82,99.875,98.68900000000001,97.642,99.759
backdoor,cpu,154.88,99.805,97.956,97.75,98.164
backdoor,cuda,3.72,99.798,97.884,97.746,98.023
backdoor,cuda:2,1.61,99.85199999999999,98.44000000000001,98.3,98.58
dos,cpu,1239.12,99.787,97.753,98.116,97.394
dos,cuda,16.24,99.796,97.845,98.344,97.352
dos,cuda:2,7.91,99.771,97.59,98.17099999999999,97.016
exploits,cpu,2905.1,99.722,97.095,96.581,97.615
exploits,cuda,33.0,99.712,97.01,96.024,98.017
exploits,cuda:2,19.27,99.70700000000001,96.93,96.21300000000001,97.65700000000001
full,cpu,7877.82,99.173,96.714,96.34,97.092
full,cuda,93.69,99.168,96.672,96.938,96.408
full,cuda:2,59.53,99.13300000000001,96.543,96.468,96.61800000000001
fuzzers,cpu,1625.69,98.869,89.316,81.147,99.314
fuzzers,cuda,18.1,98.856,89.163,81.218,98.83
fuzzers,cuda:2,10.45,98.839,89.01400000000001,80.755,99.154
generic,cpu,7536.92,99.945,99.695,99.88,99.51
generic,cuda,87.37,99.942,99.682,99.901,99.464
generic,cuda:2,53.19,99.94,99.669,99.87899999999999,99.46000000000001
reconnaissance,cpu,1221.95,99.954,99.519,99.508,99.53
reconnaissance,cuda,13.4,99.956,99.541,99.424,99.658
reconnaissance,cuda:2,7.84,99.89,98.87899999999999,98.18599999999999,99.58200000000001
shellcode,cpu,91.47,99.835,98.283,97.034,99.565
shellcode,cuda,1.54,99.835,98.283,97.034,99.565
shellcode,cuda:2,1.41,99.898,98.947,97.917,100.0
