attack_cat,mode,accuracy,f1_malicious,precision_malicious,recall_malicious,train_time,test_time,peak_memory
backdoor,ddp_non_stratified,0.9999,0.9996,0.9995,0.9998,4.842,0.0503,571.086
backdoor,ddp_stratified,0.9999,0.9997,0.9994,0.9999,4.834,0.0477,570.984
ddos,ddp_non_stratified,0.9944,0.9696,0.959,0.9804,4.958,0.0508,600.832
ddos,ddp_stratified,0.9943,0.9695,0.9595,0.9798,4.81,0.0477,600.728
dos,ddp_non_stratified,0.9992,0.9958,0.999,0.9926,8.248,0.0535,573.334
dos,ddp_stratified,0.9993,0.996,0.9992,0.9927,8.654,0.0529,573.396
injection,ddp_non_stratified,0.9916,0.9533,0.9594,0.9472,4.898,0.05,599.954
injection,ddp_stratified,0.9916,0.9544,0.96,0.949,4.896,0.0477,599.774
password,ddp_non_stratified,0.9944,0.9694,0.9626,0.9764,4.92,0.0499,599.762
password,ddp_stratified,0.9948,0.9718,0.9636,0.98,4.902,0.0485,599.718
ransomware,ddp_non_stratified,0.9998,0.9991,0.9983,0.9999,4.84,0.0499,575.376
ransomware,ddp_stratified,0.9999,0.9993,0.9989,0.9998,4.852,0.0474,574.926
scanning,ddp_non_stratified,0.9994,0.997,0.9979,0.996,4.86,0.0502,585.882
scanning,ddp_stratified,0.9994,0.9967,0.9982,0.9951,4.854,0.0475,585.864
xss,ddp_non_stratified,0.9959,0.977,0.9971,0.9578,4.906,0.0495,592.764
xss,ddp_stratified,0.996,0.9777,0.9989,0.9575,4.872,0.0477,592.77
