attack_cat,mode,accuracy,f1_malicious,precision_malicious,recall_malicious,train_time,test_time,peak_memory
analysis,ddp_non_stratified,0.9986,0.9857,0.9727,0.999,1.798,0.0236,292.574
analysis,ddp_stratified,0.9987,0.9867,0.9751,0.9986,1.796,0.0231,292.358
backdoor,ddp_non_stratified,0.9979,0.9776,0.9781,0.9772,1.61,0.0219,252.094
backdoor,ddp_stratified,0.9983,0.9822,0.9834,0.9811,1.61,0.0215,252.152
dos,ddp_non_stratified,0.9976,0.9752,0.9796,0.9707,7.85,0.0744,1529.286
dos,ddp_stratified,0.9974,0.9731,0.9732,0.973,7.842,0.0724,1528.704
exploits,ddp_non_stratified,0.9969,0.9681,0.9574,0.979,19.294,0.1681,3612.54
exploits,ddp_stratified,0.9967,0.9658,0.956,0.9759,19.258,0.162,3611.976
full,ddp_non_stratified,0.9917,0.9669,0.9708,0.9629,58.828,0.5081,9376.972
full,ddp_stratified,0.9918,0.9671,0.9703,0.964,59.464,0.4807,9375.722
fuzzers,ddp_non_stratified,0.9886,0.8912,0.8098,0.9909,10.404,0.0952,1999.574
fuzzers,ddp_stratified,0.9885,0.8916,0.8112,0.9898,10.374,0.0914,1999.988
generic,ddp_non_stratified,0.9994,0.9965,0.9988,0.9942,52.112,0.4826,8961.018
generic,ddp_stratified,0.9994,0.9964,0.9989,0.994,52.604,0.4602,8960.458
reconnaissance,ddp_non_stratified,0.9989,0.989,0.987,0.991,7.798,0.0734,1501.684
reconnaissance,ddp_stratified,0.9989,0.9882,0.9853,0.991,7.784,0.0788,1500.912
shellcode,ddp_non_stratified,0.9985,0.9847,0.9716,0.9983,1.392,0.0196,174.534
shellcode,ddp_stratified,0.9981,0.98,0.9641,0.9965,1.39,0.0194,174.592
