attack_cat,mode,accuracy,f1_malicious,precision_malicious,recall_malicious,train_time,test_time,peak_memory
analysis,ddp,0.9986,0.9857,0.9727,0.999,1.798,0.0236,292.574
analysis,single_gpu,0.9986,0.9858,0.9744,0.9976,2.5,0.0241,473.68
backdoor,ddp,0.9979,0.9776,0.9781,0.9772,1.61,0.0219,252.094
backdoor,single_gpu,0.9981,0.9804,0.9858,0.9751,2.18,0.0229,406.11
dos,ddp,0.9976,0.9752,0.9796,0.9707,7.85,0.0744,1529.286
dos,single_gpu,0.998,0.9785,0.9819,0.9752,13.346,0.0838,2533.47
exploits,ddp,0.9969,0.9681,0.9574,0.979,19.294,0.1681,3612.54
exploits,single_gpu,0.997,0.9692,0.9592,0.9793,33.814,0.1922,6018.14
full,ddp,0.9917,0.9669,0.9708,0.9629,58.828,0.5081,9376.972
full,single_gpu,0.9917,0.9669,0.9666,0.9671,102.406,0.6376,16139.82
fuzzers,ddp,0.9886,0.8912,0.8098,0.9909,10.404,0.0952,1999.574
fuzzers,single_gpu,0.9886,0.8927,0.8112,0.9925,17.918,0.1167,3307.57
generic,ddp,0.9994,0.9965,0.9988,0.9942,52.112,0.4826,8961.018
generic,single_gpu,0.9994,0.997,0.9988,0.9952,91.418,0.5707,15403.39
reconnaissance,ddp,0.9989,0.989,0.987,0.991,7.798,0.0734,1501.684
reconnaissance,single_gpu,0.9995,0.9952,0.9941,0.9962,13.176,0.0815,2478.64
shellcode,ddp,0.9985,0.9847,0.9716,0.9983,1.392,0.0196,174.534
shellcode,single_gpu,0.9984,0.9828,0.9711,0.9948,1.52,0.0197,276.15
