attack_cat,mode,accuracy,f1_malicious,precision_malicious,recall_malicious,train_time,test_time,peak_memory
analysis,ddp,0.9987,0.9867,0.9751,0.9986,1.958,0.0249,328.588
analysis,ddp_part,0.9991,0.991,0.9823,1.0,1.564,0.0225,247.69
analysis,single_gpu,0.9986,0.9858,0.9744,0.9976,2.5,0.0241,473.68
backdoor,ddp,0.9985,0.9843,0.9841,0.9846,1.748,0.0231,282.882
backdoor,ddp_part,0.9978,0.9775,0.9721,0.983,1.478,0.0214,214.48
backdoor,single_gpu,0.9981,0.9804,0.9858,0.9751,2.18,0.0229,406.11
dos,ddp,0.9975,0.9736,0.9753,0.9719,8.978,0.0831,1729.438
dos,ddp_part,0.998,0.9794,0.9826,0.9763,6.744,0.0694,1313.31
dos,single_gpu,0.998,0.9785,0.9819,0.9752,13.346,0.0838,2533.47
exploits,ddp,0.9967,0.9662,0.9565,0.976,22.204,0.1916,4093.202
exploits,ddp_part,0.997,0.9683,0.96,0.9769,17.098,0.156,3187.64
exploits,single_gpu,0.997,0.9692,0.9592,0.9793,33.814,0.1922,6018.14
full,ddp,0.9917,0.9668,0.9694,0.9642,68.5,0.5823,10728.872
full,ddp_part,0.9966,0.9866,0.9778,0.9956,58.426,0.5103,8801.92
full,single_gpu,0.9917,0.9669,0.9666,0.9671,102.406,0.6376,16139.82
fuzzers,ddp,0.9885,0.8915,0.811,0.9898,11.882,0.1065,2261.94
fuzzers,ddp_part,0.9879,0.8862,0.7999,0.9935,8.98,0.0888,1724.39
fuzzers,single_gpu,0.9886,0.8927,0.8112,0.9925,17.918,0.1167,3307.57
generic,ddp,0.9994,0.9966,0.9988,0.9943,60.404,0.5549,10249.0
generic,ddp_part,0.9995,0.997,0.9988,0.9952,53.744,0.486,8367.69
generic,single_gpu,0.9994,0.997,0.9988,0.9952,91.418,0.5707,15403.39
reconnaissance,ddp,0.999,0.9896,0.9874,0.9918,8.896,0.0899,1696.414
reconnaissance,ddp_part,0.9995,0.9952,0.9947,0.9956,6.676,0.0692,1284.65
reconnaissance,single_gpu,0.9995,0.9952,0.9941,0.9962,13.176,0.0815,2478.64
shellcode,ddp,0.998,0.9791,0.9641,0.9947,1.444,0.0203,194.842
shellcode,ddp_part,0.9987,0.9863,0.9729,1.0,1.318,0.0192,148.44
shellcode,single_gpu,0.9984,0.9828,0.9711,0.9948,1.52,0.0197,276.15
