attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
full,1650,QUBOCorrelation,SimulatedAnnealing,13,cuda:2,27.77,53.28,0.5985,7966.87,0.98911,0.98147,0.95721,0.94355,0.97128
full,1663,QUBOCorrelation,SimulatedAnnealing,26,cuda:2,27.22,52.02,0.6161,8471.71,0.99064,0.97861,0.96269,0.96283,0.96255
full,1676,QUBOCorrelation,SimulatedAnnealing,39,cuda:2,25.76,53.57,0.6125,8941.39,0.99103,0.97783,0.96411,0.96807,0.96019
full,1702,QUBOCorrelation,SteepestDescent,13,cuda:2,24.78,51.2,0.6001,7966.87,0.98932,0.98229,0.95808,0.9437,0.97291
full,1715,QUBOCorrelation,SteepestDescent,26,cuda:2,25.26,52.06,0.612,8471.71,0.99028,0.97703,0.96119,0.96305,0.95935
full,1728,QUBOCorrelation,SteepestDescent,39,cuda:2,25.71,53.58,0.6155,8941.39,0.99101,0.97769,0.96402,0.96818,0.95991
full,1754,QUBOCorrelation,TabuSampler,13,cuda:2,25.41,53.01,0.645,8724.46,0.9908,0.97545,0.96301,0.97121,0.95495
full,1767,QUBOCorrelation,TabuSampler,26,cuda:2,25.38,53.59,0.6153,8941.39,0.991,0.98028,0.9642,0.96244,0.96597
full,1780,QUBOCorrelation,TabuSampler,39,cuda:2,26.06,53.73,0.6168,9339.11,0.99147,0.98134,0.96606,0.96433,0.96781
full,1806,QUBOMutualInformation,SimulatedAnnealing,13,cuda:2,24.61,50.13,0.5984,8038.34,0.99004,0.97509,0.96011,0.96516,0.95512
full,1819,QUBOMutualInformation,SimulatedAnnealing,26,cuda:2,25.01,52.22,0.6126,8507.45,0.99087,0.97955,0.96365,0.96286,0.96445
full,1832,QUBOMutualInformation,SimulatedAnnealing,39,cuda:2,25.96,53.65,0.6157,8977.55,0.9913,0.97981,0.9653,0.96614,0.96447
full,1858,QUBOMutualInformation,SteepestDescent,13,cuda:2,24.65,50.12,0.5966,8038.34,0.99004,0.97508,0.9601,0.96514,0.95512
full,1871,QUBOMutualInformation,SteepestDescent,26,cuda:2,25.18,52.37,0.614,8507.45,0.99086,0.97945,0.96359,0.96297,0.96422
full,1884,QUBOMutualInformation,SteepestDescent,39,cuda:2,25.2,53.69,0.6109,8977.55,0.99096,0.97912,0.96393,0.96454,0.96331
full,1910,QUBOMutualInformation,TabuSampler,13,cuda:2,26.32,54.48,0.6141,9375.27,0.99161,0.98162,0.9666,0.96492,0.96828
full,1923,QUBOMutualInformation,TabuSampler,26,cuda:2,26.24,54.48,0.619,9375.27,0.99161,0.9819,0.96664,0.96435,0.96894
full,1936,QUBOMutualInformation,TabuSampler,39,cuda:2,25.9,54.48,0.6115,9375.27,0.99161,0.98156,0.96662,0.96511,0.96814
full,1962,QUBOSVCBoosting,SimulatedAnnealing,13,cuda:2,24.62,50.93,0.6043,7785.24,0.98851,0.97813,0.95467,0.94524,0.96428
full,1975,QUBOSVCBoosting,SimulatedAnnealing,26,cuda:2,25.4,51.83,0.6022,8074.49,0.99022,0.97968,0.96119,0.95682,0.9656
full,1988,QUBOSVCBoosting,SimulatedAnnealing,39,cuda:2,25.33,52.23,0.609,8399.9,0.99037,0.98014,0.96178,0.95713,0.96649
full,2014,QUBOSVCBoosting,SteepestDescent,13,cuda:2,24.48,51.15,0.6021,7785.24,0.98942,0.97685,0.95794,0.95581,0.96007
full,2027,QUBOSVCBoosting,SteepestDescent,26,cuda:2,24.99,51.81,0.5965,8074.49,0.99067,0.98038,0.96296,0.95931,0.96663
full,2040,QUBOSVCBoosting,SteepestDescent,39,cuda:2,25.15,52.22,0.6086,8399.9,0.99098,0.97918,0.96401,0.96459,0.96343
full,2066,QUBOSVCBoosting,TabuSampler,13,cuda:2,24.46,51.21,0.5993,7930.81,0.99035,0.97543,0.9613,0.96717,0.95551
full,2079,QUBOSVCBoosting,TabuSampler,26,cuda:2,25.24,52.19,0.6034,8363.74,0.99057,0.97846,0.96241,0.96252,0.9623
full,2092,QUBOSVCBoosting,TabuSampler,39,cuda:2,25.72,53.33,0.6137,8832.92,0.99148,0.98036,0.96604,0.96656,0.96552
dos,758,QUBOCorrelation,SimulatedAnnealing,12,cuda:2,2.87,7.38,0.0885,1334.82,0.99532,0.9705,0.9503,0.95762,0.94309
dos,770,QUBOCorrelation,SimulatedAnnealing,24,cuda:2,2.83,7.52,0.0855,1399.0,0.99594,0.97964,0.9574,0.9532,0.96164
dos,782,QUBOCorrelation,SimulatedAnnealing,36,cuda:2,2.88,7.69,0.088,1463.3,0.99686,0.98293,0.96693,0.96632,0.96754
dos,806,QUBOCorrelation,SteepestDescent,12,cuda:2,2.79,7.36,0.0867,1334.82,0.99526,0.97047,0.94969,0.95639,0.94309
