attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
full,1650,QUBOCorrelation,SimulatedAnnealing,13,2×GPU,0,253.33,165.2569,0.99027,0.98377,0.9617,0.94865,0.97511
full,1663,QUBOCorrelation,SimulatedAnnealing,26,2×GPU,0,329.55,166.4754,0.99337,0.98166,0.97336,0.98081,0.96602
full,1676,QUBOCorrelation,SimulatedAnnealing,39,2×GPU,0,363.06,165.8313,0.99343,0.98171,0.97356,0.98116,0.96608
full,1702,QUBOCorrelation,SteepestDescent,13,2×GPU,0,257.97,165.5537,0.99156,0.97868,0.96616,0.97086,0.9615
full,1715,QUBOCorrelation,SteepestDescent,26,2×GPU,0,328.03,165.2928,0.99375,0.98286,0.97491,0.98157,0.96833
full,1728,QUBOCorrelation,SteepestDescent,39,2×GPU,0,363.28,165.534,0.99343,0.98171,0.97356,0.98116,0.96608
full,1754,QUBOCorrelation,TabuSampler,13,2×GPU,0,342.94,165.6407,0.9932,0.98162,0.97267,0.97927,0.96616
full,1767,QUBOCorrelation,TabuSampler,26,2×GPU,0,367.28,166.1299,0.99321,0.98166,0.97274,0.97932,0.96625
full,1780,QUBOCorrelation,TabuSampler,39,2×GPU,0,404.59,165.3754,0.99445,0.98353,0.97767,0.98654,0.96895
full,1806,QUBOMutualInformation,SimulatedAnnealing,13,2×GPU,0,245.0,165.9133,0.99292,0.98246,0.97164,0.97478,0.96852
full,1819,QUBOMutualInformation,SimulatedAnnealing,26,2×GPU,0,290.43,165.6703,0.9944,0.98339,0.97744,0.98633,0.96871
full,1832,QUBOMutualInformation,SimulatedAnnealing,39,2×GPU,0,382.59,165.2559,0.99438,0.98347,0.97737,0.98598,0.96891
full,1858,QUBOMutualInformation,SteepestDescent,13,2×GPU,0,244.97,164.9355,0.99292,0.98246,0.97164,0.97478,0.96852
full,1871,QUBOMutualInformation,SteepestDescent,26,2×GPU,0,290.46,165.9632,0.9944,0.98339,0.97744,0.98633,0.96871
full,1884,QUBOMutualInformation,SteepestDescent,39,2×GPU,0,324.59,167.4895,0.99438,0.98337,0.97736,0.98618,0.96868
full,1910,QUBOMutualInformation,TabuSampler,13,2×GPU,0,414.53,165.8147,0.9944,0.98347,0.97745,0.98617,0.96889
full,1923,QUBOMutualInformation,TabuSampler,26,2×GPU,0,414.79,166.77,0.9944,0.98347,0.97745,0.98617,0.96889
full,1936,QUBOMutualInformation,TabuSampler,39,2×GPU,0,414.98,165.7098,0.9944,0.98347,0.97745,0.98617,0.96889
full,1962,QUBOSVCBoosting,SimulatedAnnealing,13,2×GPU,0,182.77,164.1987,0.98795,0.98232,0.95301,0.93217,0.9748
full,1975,QUBOSVCBoosting,SimulatedAnnealing,26,2×GPU,0,222.81,165.9958,0.99331,0.98196,0.97315,0.97957,0.96681
full,1988,QUBOSVCBoosting,SimulatedAnnealing,39,2×GPU,0,289.1,164.1938,0.99345,0.98235,0.9737,0.97996,0.96753
full,2014,QUBOSVCBoosting,SteepestDescent,13,2×GPU,0,226.74,166.3652,0.99146,0.98167,0.96601,0.96343,0.9686
full,2027,QUBOSVCBoosting,SteepestDescent,26,2×GPU,0,285.67,165.2354,0.99184,0.97907,0.96728,0.97258,0.96203
full,2040,QUBOSVCBoosting,SteepestDescent,39,2×GPU,0,315.78,165.6687,0.99281,0.98189,0.97119,0.9751,0.96732
full,2066,QUBOSVCBoosting,TabuSampler,13,2×GPU,0,215.53,165.5024,0.99092,0.97612,0.96349,0.97071,0.95637
full,2079,QUBOSVCBoosting,TabuSampler,26,2×GPU,0,293.77,165.8737,0.99356,0.9823,0.97411,0.98104,0.96728
full,2092,QUBOSVCBoosting,TabuSampler,39,2×GPU,0,370.63,166.1335,0.99421,0.9833,0.97672,0.98482,0.96875
