attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,peak_memory_gpu_0,peak_memory_gpu_1,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
full,1650,QUBOCorrelation,SimulatedAnnealing,13,cuda:2,0,4.03,1.6895,1914.94,270.94,0.98895,0.98968,0.95739,0.92628,0.99066
full,1663,QUBOCorrelation,SimulatedAnnealing,26,cuda:2,0,4.81,2.0712,3570.94,270.94,0.99253,0.98165,0.97009,0.97307,0.96714
full,1676,QUBOCorrelation,SimulatedAnnealing,39,cuda:2,0,4.74,2.2785,5390.94,270.94,0.99222,0.98099,0.96887,0.97176,0.966
full,1702,QUBOCorrelation,SteepestDescent,13,"cuda:0,1",0,2.05,1.4119,1600.94,968.94,0.99016,0.9867,0.96154,0.94184,0.98209
full,1715,QUBOCorrelation,SteepestDescent,26,"cuda:0,1",0,2.38,1.6425,1980.94,1036.94,0.9931,0.98447,0.97248,0.972,0.97296
full,1728,QUBOCorrelation,SteepestDescent,39,"cuda:0,1",0,2.47,1.6292,2308.94,1134.94,0.99235,0.98198,0.96942,0.97069,0.96815
full,1754,QUBOCorrelation,TabuSampler,13,"cuda:0,1",0,2.42,1.5683,2244.94,1072.94,0.9918,0.9798,0.96716,0.97055,0.96379
full,1767,QUBOCorrelation,TabuSampler,26,"cuda:0,1",0,2.46,1.5971,2298.94,1402.94,0.99199,0.98059,0.96796,0.97055,0.96538
full,1780,QUBOCorrelation,TabuSampler,39,"cuda:0,1",0,2.54,1.6696,2628.94,1158.94,0.99409,0.98481,0.97634,0.98028,0.97242
full,1806,QUBOMutualInformation,SimulatedAnnealing,13,"cuda:0,1",0,2.04,1.5428,1804.94,1276.94,0.99247,0.9831,0.96997,0.96934,0.97061
full,1819,QUBOMutualInformation,SimulatedAnnealing,26,"cuda:0,1",0,2.3,1.579,2120.94,1042.94,0.99411,0.98447,0.97638,0.9812,0.9716
full,1832,QUBOMutualInformation,SimulatedAnnealing,39,"cuda:0,1",0,2.67,1.8842,2610.94,1140.94,0.99415,0.98473,0.97655,0.98099,0.97216
full,1858,QUBOMutualInformation,SteepestDescent,13,"cuda:0,1",0,2.01,1.5641,1758.94,976.94,0.99247,0.9831,0.96997,0.96934,0.97061
full,1871,QUBOMutualInformation,SteepestDescent,26,"cuda:0,1",0,2.35,1.5982,2096.94,1064.94,0.99411,0.98447,0.97638,0.9812,0.9716
full,1884,QUBOMutualInformation,SteepestDescent,39,"cuda:0,1",0,2.65,1.7018,2658.94,1108.94,0.99412,0.98477,0.97643,0.9806,0.9723
full,1910,QUBOMutualInformation,TabuSampler,13,"cuda:0,1",0,2.72,1.7198,3208.94,1462.94,0.99407,0.98461,0.97622,0.9805,0.97199
full,1923,QUBOMutualInformation,TabuSampler,26,"cuda:0,1",0,2.77,1.6206,2980.94,1162.94,0.99407,0.98461,0.97622,0.9805,0.97199
full,1936,QUBOMutualInformation,TabuSampler,39,"cuda:0,1",0,2.73,1.6902,3054.94,1202.94,0.99407,0.98461,0.97622,0.9805,0.97199
full,1962,QUBOSVCBoosting,SimulatedAnnealing,13,"cuda:0,1",0,1.67,1.3774,2070.94,942.94,0.98796,0.98219,0.95303,0.9325,0.97449
full,1975,QUBOSVCBoosting,SimulatedAnnealing,26,"cuda:0,1",0,2.19,1.4627,2240.94,982.94,0.99324,0.98381,0.97298,0.97475,0.97123
full,1988,QUBOSVCBoosting,SimulatedAnnealing,39,"cuda:0,1",0,2.53,1.7962,2270.94,1066.94,0.99272,0.9845,0.97102,0.96852,0.97354
full,2014,QUBOSVCBoosting,SteepestDescent,13,"cuda:0,1",0,2.03,1.4158,1742.94,958.94,0.99115,0.98092,0.9648,0.96235,0.96726
full,2027,QUBOSVCBoosting,SteepestDescent,26,"cuda:0,1",0,2.29,1.4467,1910.94,982.94,0.99136,0.97815,0.96534,0.97021,0.96053
full,2040,QUBOSVCBoosting,SteepestDescent,39,"cuda:0,1",0,2.48,1.5243,2136.94,1028.94,0.99212,0.98083,0.96847,0.97119,0.96577
full,2066,QUBOSVCBoosting,TabuSampler,13,"cuda:0,1",0,1.86,0.9371,1668.94,812.94,0.99038,0.9777,0.96159,0.9624,0.96077
full,2079,QUBOSVCBoosting,TabuSampler,26,"cuda:0,1",0,2.74,1.5702,2094.94,1042.94,0.99339,0.98311,0.97353,0.97771,0.96939
full,2092,QUBOSVCBoosting,TabuSampler,39,"cuda:0,1",0,2.63,1.7215,2446.94,1388.94,0.9939,0.98428,0.97556,0.97973,0.97143
dos,758,QUBOCorrelation,SimulatedAnnealing,12,"cuda:0,1",0,0.6,0.6168,1236.94,636.94,0.99546,0.96747,0.95153,0.96701,0.93653
dos,770,QUBOCorrelation,SimulatedAnnealing,24,"cuda:0,1",0,0.64,1.3696,1514.94,898.94,0.99652,0.97541,0.96301,0.97419,0.95208
dos,782,QUBOCorrelation,SimulatedAnnealing,36,"cuda:0,1",0,0.63,1.3895,1554.94,904.94,0.9969,0.97681,0.967,0.97972,0.9546
dos,806,QUBOCorrelation,SteepestDescent,12,"cuda:0,1",0,0.56,0.725,1244.94,636.94,0.99546,0.96747,0.95153,0.96701,0.93653
dos,818,QUBOCorrelation,SteepestDescent,24,"cuda:0,1",0,0.65,1.53,1510.94,894.94,0.99662,0.97586,0.96407,0.97547,0.95292
dos,830,QUBOCorrelation,SteepestDescent,36,"cuda:0,1",0,0.67,1.4978,1518.94,1200.94,0.9969,0.97681,0.967,0.97972,0.9546
dos,854,QUBOCorrelation,TabuSampler,12,"cuda:0,1",0,0.63,1.3665,1540.94,896.94,0.99774,0.98424,0.97608,0.98295,0.96931
dos,866,QUBOCorrelation,TabuSampler,24,"cuda:0,1",0,0.67,1.5049,1862.94,900.94,0.99846,0.9918,0.98383,0.98321,0.98445
dos,878,QUBOCorrelation,TabuSampler,36,"cuda:0,1",0,0.64,1.5048,1892.94,904.94,0.99858,0.99286,0.9851,0.98365,0.98655
dos,902,QUBOMutualInformation,SimulatedAnnealing,12,"cuda:0,1",0,0.6,1.6073,1490.94,890.94,0.99726,0.98319,0.9711,0.9746,0.96763
dos,914,QUBOMutualInformation,SimulatedAnnealing,24,"cuda:0,1",0,0.6,1.4078,1510.94,894.94,0.99874,0.99395,0.98678,0.98492,0.98865
dos,926,QUBOMutualInformation,SimulatedAnnealing,36,"cuda:0,1",0,0.7,1.537,1560.94,900.94,0.99868,0.99312,0.98614,0.98531,0.98697
dos,950,QUBOMutualInformation,SteepestDescent,12,"cuda:0,1",0,0.54,1.5199,1486.94,888.94,0.99726,0.98319,0.9711,0.9746,0.96763
dos,962,QUBOMutualInformation,SteepestDescent,24,"cuda:0,1",0,0.62,1.4205,1512.94,894.94,0.99874,0.99395,0.98678,0.98492,0.98865
dos,974,QUBOMutualInformation,SteepestDescent,36,"cuda:0,1",0,0.67,1.5257,1534.94,904.94,0.99864,0.9931,0.98573,0.98449,0.98697
dos,998,QUBOMutualInformation,TabuSampler,12,"cuda:0,1",0,0.66,1.5288,1568.94,906.94,0.99876,0.99376,0.98699,0.98574,0.98823
dos,1010,QUBOMutualInformation,TabuSampler,24,"cuda:0,1",0,0.68,1.5179,1580.94,906.94,0.99876,0.99376,0.98699,0.98574,0.98823
dos,1022,QUBOMutualInformation,TabuSampler,36,"cuda:0,1",0,0.69,1.5448,1588.94,906.94,0.99876,0.99376,0.98699,0.98574,0.98823
dos,1046,QUBOSVCBoosting,SimulatedAnnealing,12,"cuda:0,1",0,0.52,1.4852,1508.94,886.94,0.99762,0.98657,0.97497,0.97559,0.97436
dos,1058,QUBOSVCBoosting,SimulatedAnnealing,24,"cuda:0,1",0,0.61,1.4061,1522.94,892.94,0.99612,0.96901,0.95839,0.97854,0.93905
dos,1070,QUBOSVCBoosting,SimulatedAnnealing,36,"cuda:0,1",0,0.63,1.6115,1556.94,894.94,0.99546,0.96607,0.95138,0.96987,0.93359
dos,1094,QUBOSVCBoosting,SteepestDescent,12,"cuda:0,1",0,0.57,0.5465,1244.94,632.94,0.99429,0.95028,0.9377,0.97678,0.90164
dos,1106,QUBOSVCBoosting,SteepestDescent,24,"cuda:0,1",0,0.56,0.8193,1302.94,666.94,0.99425,0.95206,0.93754,0.97202,0.90542
dos,1118,QUBOSVCBoosting,SteepestDescent,36,"cuda:0,1",0,0.64,1.3939,1536.94,894.94,0.99826,0.9889,0.98166,0.98477,0.97856
dos,1142,QUBOSVCBoosting,TabuSampler,12,"cuda:0,1",0,0.51,1.3789,1504.94,888.94,0.99574,0.98398,0.95593,0.94132,0.971
dos,1154,QUBOSVCBoosting,TabuSampler,24,"cuda:0,1",0,0.61,1.3949,1542.94,892.94,0.99736,0.98324,0.97213,0.97667,0.96763
dos,1166,QUBOSVCBoosting,TabuSampler,36,"cuda:0,1",0,0.65,1.7195,1580.94,898.94,0.99836,0.98995,0.98273,0.9848,0.98066
fuzzers,2116,QUBOCorrelation,SimulatedAnnealing,11,"cuda:0,1",0,0.64,0.5474,1278.94,640.94,0.98892,0.99329,0.89558,0.81214,0.99813
