attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
full,1650,QUBOCorrelation,SimulatedAnnealing,13,Tesla V100-PCIE-32GB,0,2.19,0.2128,0.99101,0.9828,0.96441,0.9571,0.97185
full,1663,QUBOCorrelation,SimulatedAnnealing,26,Tesla V100-PCIE-32GB,0,2.34,0.2779,0.99349,0.98244,0.97388,0.98014,0.96769
full,1676,QUBOCorrelation,SimulatedAnnealing,39,Tesla V100-PCIE-32GB,0,2.67,0.3274,0.99354,0.98234,0.97406,0.98084,0.96738
full,1702,QUBOCorrelation,SteepestDescent,13,Tesla V100-PCIE-32GB,0,1.99,0.192,0.99183,0.98069,0.96735,0.96888,0.96583
full,1715,QUBOCorrelation,SteepestDescent,26,Tesla V100-PCIE-32GB,0,2.37,0.2771,0.9939,0.98301,0.97548,0.98258,0.96848
full,1728,QUBOCorrelation,SteepestDescent,39,Tesla V100-PCIE-32GB,0,2.79,0.3343,0.99354,0.98234,0.97406,0.98084,0.96738
full,1754,QUBOCorrelation,TabuSampler,13,Tesla V100-PCIE-32GB,0,2.48,0.3053,0.99329,0.98233,0.97308,0.97853,0.96769
full,1767,QUBOCorrelation,TabuSampler,26,Tesla V100-PCIE-32GB,0,2.63,0.3464,0.99334,0.98258,0.97329,0.9784,0.96823
full,1780,QUBOCorrelation,TabuSampler,39,Tesla V100-PCIE-32GB,0,2.89,0.3973,0.99459,0.98419,0.97825,0.98631,0.97032
full,1806,QUBOMutualInformation,SimulatedAnnealing,13,Tesla V100-PCIE-32GB,0,2.01,0.2055,0.9931,0.98345,0.97243,0.97431,0.97056
full,1819,QUBOMutualInformation,SimulatedAnnealing,26,Tesla V100-PCIE-32GB,0,2.44,0.2851,0.99452,0.98404,0.97795,0.98597,0.97005
full,1832,QUBOMutualInformation,SimulatedAnnealing,39,Tesla V100-PCIE-32GB,0,2.62,0.3576,0.99468,0.98442,0.97859,0.98658,0.97073
full,1858,QUBOMutualInformation,SteepestDescent,13,Tesla V100-PCIE-32GB,0,2.07,0.2204,0.9931,0.98345,0.97243,0.97431,0.97056
full,1871,QUBOMutualInformation,SteepestDescent,26,Tesla V100-PCIE-32GB,0,2.39,0.2811,0.99452,0.98404,0.97795,0.98597,0.97005
full,1884,QUBOMutualInformation,SteepestDescent,39,Tesla V100-PCIE-32GB,0,2.64,0.3444,0.99456,0.98441,0.97815,0.98555,0.97085
full,1910,QUBOMutualInformation,TabuSampler,13,Tesla V100-PCIE-32GB,0,2.93,0.3716,0.9946,0.98417,0.97826,0.98639,0.97025
full,1923,QUBOMutualInformation,TabuSampler,26,Tesla V100-PCIE-32GB,0,2.94,0.4016,0.9946,0.9842,0.97826,0.98631,0.97034
full,1936,QUBOMutualInformation,TabuSampler,39,Tesla V100-PCIE-32GB,0,2.91,0.3995,0.9946,0.9842,0.97826,0.98631,0.97034
full,1962,QUBOSVCBoosting,SimulatedAnnealing,13,Tesla V100-PCIE-32GB,0,1.38,0.1624,0.99102,0.97885,0.96412,0.96562,0.96261
full,1975,QUBOSVCBoosting,SimulatedAnnealing,26,Tesla V100-PCIE-32GB,0,2.06,0.2137,0.99388,0.98309,0.97542,0.98226,0.96868
full,1988,QUBOSVCBoosting,SimulatedAnnealing,39,Tesla V100-PCIE-32GB,0,2.27,0.2593,0.99369,0.98171,0.97459,0.98361,0.96573
full,2014,QUBOSVCBoosting,SteepestDescent,13,Tesla V100-PCIE-32GB,0,1.41,0.1731,0.99174,0.98275,0.96715,0.96358,0.97075
full,2027,QUBOSVCBoosting,SteepestDescent,26,Tesla V100-PCIE-32GB,0,2.1,0.4048,0.99171,0.9796,0.9668,0.97019,0.96344
full,2040,QUBOSVCBoosting,SteepestDescent,39,Tesla V100-PCIE-32GB,0,2.27,0.2478,0.99292,0.98298,0.97167,0.97364,0.96972
full,2066,QUBOSVCBoosting,TabuSampler,13,Tesla V100-PCIE-32GB,0,1.94,0.1929,0.99085,0.97627,0.96323,0.96975,0.95681
full,2079,QUBOSVCBoosting,TabuSampler,26,Tesla V100-PCIE-32GB,0,2.25,0.2611,0.99395,0.98308,0.97567,0.98285,0.96858
full,2092,QUBOSVCBoosting,TabuSampler,39,Tesla V100-PCIE-32GB,0,2.57,0.3307,0.99445,0.9842,0.97769,0.98497,0.97052
dos,758,QUBOCorrelation,SimulatedAnnealing,12,Tesla V100-PCIE-32GB,0,1.18,0.1244,0.99534,0.9668,0.95025,0.96571,0.93527
dos,770,QUBOCorrelation,SimulatedAnnealing,24,Tesla V100-PCIE-32GB,0,1.21,0.1326,0.99762,0.98158,0.97471,0.98581,0.96385
dos,782,QUBOCorrelation,SimulatedAnnealing,36,Tesla V100-PCIE-32GB,0,1.24,0.1376,0.99784,0.98449,0.97713,0.98464,0.96974
dos,806,QUBOCorrelation,SteepestDescent,12,Tesla V100-PCIE-32GB,0,1.18,0.1238,0.99534,0.9668,0.95025,0.96571,0.93527
dos,818,QUBOCorrelation,SteepestDescent,24,Tesla V100-PCIE-32GB,0,1.18,0.1332,0.9972,0.97896,0.97023,0.98192,0.95881
dos,830,QUBOCorrelation,SteepestDescent,36,Tesla V100-PCIE-32GB,0,1.28,0.1443,0.99788,0.98491,0.97756,0.98465,0.97058
dos,854,QUBOCorrelation,TabuSampler,12,Tesla V100-PCIE-32GB,0,1.17,0.1284,0.99836,0.99055,0.98275,0.98358,0.98193
dos,866,QUBOCorrelation,TabuSampler,24,Tesla V100-PCIE-32GB,0,1.27,0.1338,0.99872,0.99434,0.98659,0.9837,0.98949
dos,878,QUBOCorrelation,TabuSampler,36,Tesla V100-PCIE-32GB,0,1.26,0.1441,0.99908,0.99532,0.99034,0.98951,0.99117
dos,902,QUBOMutualInformation,SimulatedAnnealing,12,Tesla V100-PCIE-32GB,0,1.14,0.131,0.99762,0.98477,0.97488,0.97922,0.97058
dos,914,QUBOMutualInformation,SimulatedAnnealing,24,Tesla V100-PCIE-32GB,0,1.19,0.1333,0.99886,0.99361,0.98802,0.98823,0.98781
dos,926,QUBOMutualInformation,SimulatedAnnealing,36,Tesla V100-PCIE-32GB,0,1.26,0.1402,0.99898,0.99447,0.98928,0.98908,0.98949
dos,950,QUBOMutualInformation,SteepestDescent,12,Tesla V100-PCIE-32GB,0,1.13,0.1284,0.99762,0.98477,0.97488,0.97922,0.97058
dos,962,QUBOMutualInformation,SteepestDescent,24,Tesla V100-PCIE-32GB,0,1.23,0.1248,0.99892,0.99444,0.98866,0.98783,0.98949
dos,974,QUBOMutualInformation,SteepestDescent,36,Tesla V100-PCIE-32GB,0,1.21,0.1389,0.99902,0.99489,0.98971,0.98908,0.99033
dos,998,QUBOMutualInformation,TabuSampler,12,Tesla V100-PCIE-32GB,0,1.24,0.1559,0.99902,0.99489,0.98971,0.98908,0.99033
dos,1010,QUBOMutualInformation,TabuSampler,24,Tesla V100-PCIE-32GB,0,1.26,0.1468,0.99902,0.99489,0.98971,0.98908,0.99033
dos,1022,QUBOMutualInformation,TabuSampler,36,Tesla V100-PCIE-32GB,0,1.23,0.1515,0.999,0.99468,0.9895,0.98908,0.98991
dos,1046,QUBOSVCBoosting,SimulatedAnnealing,12,Tesla V100-PCIE-32GB,0,1.16,0.1188,0.99786,0.9855,0.97738,0.98299,0.97184
dos,1058,QUBOSVCBoosting,SimulatedAnnealing,24,Tesla V100-PCIE-32GB,0,1.14,0.1263,0.99674,0.97612,0.96531,0.97759,0.95334
dos,1070,QUBOSVCBoosting,SimulatedAnnealing,36,Tesla V100-PCIE-32GB,0,1.2,0.134,0.99662,0.97526,0.96402,0.9767,0.95166
dos,1094,QUBOSVCBoosting,SteepestDescent,12,Tesla V100-PCIE-32GB,0,1.14,0.118,0.99435,0.9589,0.93946,0.96007,0.91971
dos,1106,QUBOSVCBoosting,SteepestDescent,24,Tesla V100-PCIE-32GB,0,1.18,0.1325,0.99437,0.95891,0.93966,0.96049,0.91971
dos,1118,QUBOSVCBoosting,SteepestDescent,36,Tesla V100-PCIE-32GB,0,1.19,0.1297,0.99884,0.9936,0.98781,0.98781,0.98781
dos,1142,QUBOSVCBoosting,TabuSampler,12,Tesla V100-PCIE-32GB,0,1.15,0.1283,0.99622,0.98504,0.96076,0.94914,0.97268
dos,1154,QUBOSVCBoosting,TabuSampler,24,Tesla V100-PCIE-32GB,0,1.18,0.1393,0.99794,0.98654,0.97826,0.98261,0.97394
dos,1166,QUBOSVCBoosting,TabuSampler,36,Tesla V100-PCIE-32GB,0,1.26,0.1345,0.99874,0.99175,0.98672,0.98943,0.98403
fuzzers,2116,QUBOCorrelation,SimulatedAnnealing,11,Tesla V100-PCIE-32GB,0,1.18,0.1205,0.98893,0.9933,0.8957,0.81234,0.99813
fuzzers,2127,QUBOCorrelation,SimulatedAnnealing,22,Tesla V100-PCIE-32GB,0,1.23,0.1424,0.98889,0.98098,0.89284,0.82543,0.97223
fuzzers,2138,QUBOCorrelation,SimulatedAnnealing,33,Tesla V100-PCIE-32GB,0,1.28,0.1591,0.98912,0.9814,0.89495,0.82859,0.97285
fuzzers,2159,QUBOCorrelation,SteepestDescent,11,Tesla V100-PCIE-32GB,0,1.21,0.1195,0.98874,0.99127,0.89369,0.81172,0.99407
fuzzers,2170,QUBOCorrelation,SteepestDescent,22,Tesla V100-PCIE-32GB,0,1.23,0.1346,0.98883,0.98613,0.89339,0.81865,0.98315
fuzzers,2181,QUBOCorrelation,SteepestDescent,33,Tesla V100-PCIE-32GB,0,1.26,0.1509,0.98914,0.9817,0.89514,0.82847,0.97348
fuzzers,2202,QUBOCorrelation,TabuSampler,11,Tesla V100-PCIE-32GB,0,1.71,0.1476,0.98942,0.98155,0.89752,0.83302,0.97285
fuzzers,2213,QUBOCorrelation,TabuSampler,22,Tesla V100-PCIE-32GB,0,1.29,0.1569,0.98964,0.97945,0.89903,0.8391,0.96817
fuzzers,2224,QUBOCorrelation,TabuSampler,33,Tesla V100-PCIE-32GB,0,1.3,0.1523,0.98956,0.97777,0.89792,0.83976,0.96474
fuzzers,2245,QUBOMutualInformation,SimulatedAnnealing,11,Tesla V100-PCIE-32GB,0,1.19,0.1246,0.98935,0.98137,0.89685,0.83209,0.97254
fuzzers,2256,QUBOMutualInformation,SimulatedAnnealing,22,Tesla V100-PCIE-32GB,0,1.26,0.1466,0.98999,0.97992,0.90209,0.84398,0.9688
fuzzers,2267,QUBOMutualInformation,SimulatedAnnealing,33,Tesla V100-PCIE-32GB,0,1.25,0.1579,0.98994,0.97975,0.90167,0.84348,0.96849
fuzzers,2288,QUBOMutualInformation,SteepestDescent,11,Tesla V100-PCIE-32GB,0,1.24,0.1252,0.98935,0.98137,0.89685,0.83209,0.97254
fuzzers,2299,QUBOMutualInformation,SteepestDescent,22,Tesla V100-PCIE-32GB,0,1.24,0.1423,0.9896,0.97735,0.89823,0.841,0.96381
fuzzers,2310,QUBOMutualInformation,SteepestDescent,33,Tesla V100-PCIE-32GB,0,1.29,0.1297,0.98956,0.97732,0.89783,0.84032,0.96381
fuzzers,2331,QUBOMutualInformation,TabuSampler,11,Tesla V100-PCIE-32GB,0,1.28,0.159,0.98956,0.97777,0.89792,0.83976,0.96474
fuzzers,2342,QUBOMutualInformation,TabuSampler,22,Tesla V100-PCIE-32GB,0,1.33,0.1548,0.98956,0.97866,0.8981,0.83866,0.96661
fuzzers,2353,QUBOMutualInformation,TabuSampler,33,Tesla V100-PCIE-32GB,0,1.8,0.1572,0.98956,0.97866,0.8981,0.83866,0.96661
fuzzers,2374,QUBOSVCBoosting,SimulatedAnnealing,11,Tesla V100-PCIE-32GB,0,1.17,0.1284,0.98877,0.98373,0.8924,0.82047,0.97816
fuzzers,2385,QUBOSVCBoosting,SimulatedAnnealing,22,Tesla V100-PCIE-32GB,0,1.18,0.1295,0.98893,0.98871,0.89479,0.81734,0.98846
fuzzers,2396,QUBOSVCBoosting,SimulatedAnnealing,33,Tesla V100-PCIE-32GB,0,1.23,0.121,0.98938,0.98094,0.89702,0.83307,0.97161
fuzzers,2417,QUBOSVCBoosting,SteepestDescent,11,Tesla V100-PCIE-32GB,0,1.16,0.1211,0.98863,0.99018,0.8926,0.81138,0.99189
fuzzers,2428,QUBOSVCBoosting,SteepestDescent,22,Tesla V100-PCIE-32GB,0,1.23,0.1282,0.98865,0.99063,0.89282,0.81111,0.99282
fuzzers,2439,QUBOSVCBoosting,SteepestDescent,33,Tesla V100-PCIE-32GB,0,1.21,0.1342,0.98908,0.98241,0.89477,0.82672,0.97504
fuzzers,2460,QUBOSVCBoosting,TabuSampler,11,Tesla V100-PCIE-32GB,0,1.23,0.1301,0.98875,0.99187,0.89393,0.81129,0.99532
fuzzers,2471,QUBOSVCBoosting,TabuSampler,22,Tesla V100-PCIE-32GB,0,1.21,0.1174,0.98933,0.98832,0.8981,0.82374,0.98721
fuzzers,2482,QUBOSVCBoosting,TabuSampler,33,Tesla V100-PCIE-32GB,0,1.21,0.1502,0.98979,0.98027,0.90048,0.84045,0.96973
exploits,1191,QUBOCorrelation,SimulatedAnnealing,13,Tesla V100-PCIE-32GB,0,1.22,0.1384,0.99464,0.97556,0.94428,0.93431,0.95448
exploits,1204,QUBOCorrelation,SimulatedAnnealing,26,Tesla V100-PCIE-32GB,0,1.84,0.164,0.99687,0.97944,0.96688,0.97369,0.96017
exploits,1217,QUBOCorrelation,SimulatedAnnealing,39,Tesla V100-PCIE-32GB,0,1.92,0.1878,0.99755,0.98345,0.97406,0.98034,0.96787
exploits,1242,QUBOCorrelation,SteepestDescent,13,Tesla V100-PCIE-32GB,0,1.2,0.1376,0.99509,0.97961,0.94917,0.93619,0.96251
exploits,1255,QUBOCorrelation,SteepestDescent,26,Tesla V100-PCIE-32GB,0,1.33,0.1613,0.99687,0.97944,0.96688,0.97369,0.96017
exploits,1268,QUBOCorrelation,SteepestDescent,39,Tesla V100-PCIE-32GB,0,1.43,0.1817,0.99723,0.98162,0.97077,0.97727,0.96435
exploits,1293,QUBOCorrelation,TabuSampler,13,Tesla V100-PCIE-32GB,0,1.37,0.1696,0.99711,0.98115,0.96952,0.9756,0.96351
exploits,1306,QUBOCorrelation,TabuSampler,26,Tesla V100-PCIE-32GB,0,1.97,0.2042,0.99818,0.98935,0.98089,0.98221,0.97958
exploits,1319,QUBOCorrelation,TabuSampler,39,Tesla V100-PCIE-32GB,0,2.03,0.2185,0.99878,0.99356,0.9872,0.98663,0.98778
exploits,1344,QUBOMutualInformation,SimulatedAnnealing,13,Tesla V100-PCIE-32GB,0,1.25,0.1459,0.99755,0.98608,0.97429,0.97518,0.97339
exploits,1357,QUBOMutualInformation,SimulatedAnnealing,26,Tesla V100-PCIE-32GB,0,1.35,0.1678,0.99876,0.99338,0.98695,0.98646,0.98745
exploits,1370,QUBOMutualInformation,SimulatedAnnealing,39,Tesla V100-PCIE-32GB,0,1.98,0.1996,0.99877,0.99339,0.98712,0.98679,0.98745
exploits,1395,QUBOMutualInformation,SteepestDescent,13,Tesla V100-PCIE-32GB,0,1.26,0.1491,0.99755,0.98608,0.97429,0.97518,0.97339
